network,autonomous_system_number,autonomous_system_organization
2001:200::/40,2500,"WIDE Project"
2001:200:100::/42,2500,"WIDE Project"
2001:200:140::/48,2500,"WIDE Project"
2001:200:141::/48,17932,"Japan Advanced Institute of Science and Technology"
2001:200:142::/47,2500,"WIDE Project"
2001:200:144::/46,2500,"WIDE Project"
2001:200:148::/45,2500,"WIDE Project"
2001:200:150::/44,2500,"WIDE Project"
2001:200:160::/43,2500,"WIDE Project"
2001:200:180::/41,2500,"WIDE Project"
2001:200:200::/39,2500,"WIDE Project"
2001:200:400::/38,2500,"WIDE Project"
2001:200:800::/40,2500,"WIDE Project"
2001:200:900::/40,7660,"Asia Pacific Advanced Network - Japan"
2001:200:a00::/39,2500,"WIDE Project"
2001:200:c00::/39,2500,"WIDE Project"
2001:200:e00::/40,4690,"WIDE Project"
2001:200:f00::/40,2500,"WIDE Project"
2001:200:1000::/36,2500,"WIDE Project"
2001:200:2000::/35,2500,"WIDE Project"
2001:200:4000::/34,2500,"WIDE Project"
2001:200:8000::/34,2500,"WIDE Project"
2001:200:c000::/35,23634,"WIDE Project"
2001:200:e000::/35,7660,"Asia Pacific Advanced Network - Japan"
2001:218::/35,2914,NTT-DATA-2914
2001:218:2000::/39,2914,NTT-DATA-2914
2001:218:2200::/40,18259,"NTT DOCOMO BUSINESS, Inc"
2001:218:2300::/40,2914,NTT-DATA-2914
2001:218:2400::/38,2914,NTT-DATA-2914
2001:218:2800::/37,2914,NTT-DATA-2914
2001:218:3000::/36,2914,NTT-DATA-2914
2001:218:4000::/34,2914,NTT-DATA-2914
2001:218:8000::/33,2914,NTT-DATA-2914
2001:240::/32,2497,"Internet Initiative Japan Inc."
2001:250::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2::/48,4538,"China Education and Research Network Center"
2001:250:3::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4::/46,23910,"China Next Generation Internet CERNET2"
2001:250:8::/45,23910,"China Next Generation Internet CERNET2"
2001:250:10::/44,23910,"China Next Generation Internet CERNET2"
2001:250:20::/43,23910,"China Next Generation Internet CERNET2"
2001:250:40::/42,23910,"China Next Generation Internet CERNET2"
2001:250:80::/41,23910,"China Next Generation Internet CERNET2"
2001:250:100::/40,23910,"China Next Generation Internet CERNET2"
2001:250:200::/46,23910,"China Next Generation Internet CERNET2"
2001:250:204::/48,23910,"China Next Generation Internet CERNET2"
2001:250:205::/48,4538,"China Education and Research Network Center"
2001:250:206::/47,4538,"China Education and Research Network Center"
2001:250:208::/46,4538,"China Education and Research Network Center"
2001:250:20c::/48,4538,"China Education and Research Network Center"
2001:250:20d::/48,23910,"China Next Generation Internet CERNET2"
2001:250:20e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:20f::/48,4538,"China Education and Research Network Center"
2001:250:210::/48,4538,"China Education and Research Network Center"
2001:250:211::/48,23910,"China Next Generation Internet CERNET2"
2001:250:212::/48,4538,"China Education and Research Network Center"
2001:250:213::/48,23910,"China Next Generation Internet CERNET2"
2001:250:214::/47,4538,"China Education and Research Network Center"
2001:250:216::/47,23910,"China Next Generation Internet CERNET2"
2001:250:218::/47,4538,"China Education and Research Network Center"
2001:250:21a::/48,23910,"China Next Generation Internet CERNET2"
2001:250:21b::/48,4538,"China Education and Research Network Center"
2001:250:21c::/47,23910,"China Next Generation Internet CERNET2"
2001:250:21e::/47,4538,"China Education and Research Network Center"
2001:250:220::/47,23910,"China Next Generation Internet CERNET2"
2001:250:222::/48,23910,"China Next Generation Internet CERNET2"
2001:250:223::/48,4538,"China Education and Research Network Center"
2001:250:224::/46,23910,"China Next Generation Internet CERNET2"
2001:250:228::/48,4538,"China Education and Research Network Center"
2001:250:229::/48,23910,"China Next Generation Internet CERNET2"
2001:250:22a::/48,23910,"China Next Generation Internet CERNET2"
2001:250:22b::/48,4538,"China Education and Research Network Center"
2001:250:22c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:22d::/48,4538,"China Education and Research Network Center"
2001:250:22e::/48,4538,"China Education and Research Network Center"
2001:250:22f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:230::/47,4538,"China Education and Research Network Center"
2001:250:232::/48,4538,"China Education and Research Network Center"
2001:250:233::/48,23910,"China Next Generation Internet CERNET2"
2001:250:234::/48,4538,"China Education and Research Network Center"
2001:250:235::/48,23910,"China Next Generation Internet CERNET2"
2001:250:236::/47,4538,"China Education and Research Network Center"
2001:250:238::/48,4538,"China Education and Research Network Center"
2001:250:239::/48,23910,"China Next Generation Internet CERNET2"
2001:250:23a::/47,4538,"China Education and Research Network Center"
2001:250:23c::/47,4538,"China Education and Research Network Center"
2001:250:23e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:23f::/48,24357,"CERNET2 IX at South China University of Technology"
2001:250:240::/47,23910,"China Next Generation Internet CERNET2"
2001:250:242::/48,23910,"China Next Generation Internet CERNET2"
2001:250:243::/48,4538,"China Education and Research Network Center"
2001:250:244::/46,23910,"China Next Generation Internet CERNET2"
2001:250:248::/46,23910,"China Next Generation Internet CERNET2"
2001:250:24c::/47,23910,"China Next Generation Internet CERNET2"
2001:250:24e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:24f::/48,4538,"China Education and Research Network Center"
2001:250:250::/48,23910,"China Next Generation Internet CERNET2"
2001:250:251::/48,4538,"China Education and Research Network Center"
2001:250:252::/47,23910,"China Next Generation Internet CERNET2"
2001:250:254::/46,23910,"China Next Generation Internet CERNET2"
2001:250:258::/45,23910,"China Next Generation Internet CERNET2"
2001:250:260::/43,23910,"China Next Generation Internet CERNET2"
2001:250:280::/41,23910,"China Next Generation Internet CERNET2"
2001:250:300::/40,23910,"China Next Generation Internet CERNET2"
2001:250:400::/38,23910,"China Next Generation Internet CERNET2"
2001:250:800::/47,23910,"China Next Generation Internet CERNET2"
2001:250:802::/48,23910,"China Next Generation Internet CERNET2"
2001:250:803::/48,4538,"China Education and Research Network Center"
2001:250:804::/46,23910,"China Next Generation Internet CERNET2"
2001:250:808::/45,23910,"China Next Generation Internet CERNET2"
2001:250:810::/44,23910,"China Next Generation Internet CERNET2"
2001:250:820::/43,23910,"China Next Generation Internet CERNET2"
2001:250:840::/42,23910,"China Next Generation Internet CERNET2"
2001:250:880::/41,23910,"China Next Generation Internet CERNET2"
2001:250:900::/40,23910,"China Next Generation Internet CERNET2"
2001:250:a00::/39,23910,"China Next Generation Internet CERNET2"
2001:250:c00::/38,23910,"China Next Generation Internet CERNET2"
2001:250:1000::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1001::/48,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1002::/47,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1004::/46,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1008::/45,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1010::/45,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1018::/46,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:101c::/47,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:101e::/48,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:101f::/48,4538,"China Education and Research Network Center"
2001:250:1020::/47,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1022::/48,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1023::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1024::/46,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1028::/45,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1030::/46,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1034::/47,24353,"CERNET2 IX at Xian Jiaotong University"
2001:250:1036::/47,23910,"China Next Generation Internet CERNET2"
2001:250:1038::/45,23910,"China Next Generation Internet CERNET2"
2001:250:1040::/42,23910,"China Next Generation Internet CERNET2"
2001:250:1080::/41,23910,"China Next Generation Internet CERNET2"
2001:250:1100::/40,23910,"China Next Generation Internet CERNET2"
2001:250:1200::/39,23910,"China Next Generation Internet CERNET2"
2001:250:1400::/38,23910,"China Next Generation Internet CERNET2"
2001:250:1800::/38,23910,"China Next Generation Internet CERNET2"
2001:250:1c00::/45,138376,"CERNET2 regional IX at Ningxia University"
2001:250:1c08::/46,138376,"CERNET2 regional IX at Ningxia University"
2001:250:1c0c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1c0d::/48,138376,"CERNET2 regional IX at Ningxia University"
2001:250:1c0e::/48,138376,"CERNET2 regional IX at Ningxia University"
2001:250:1c0f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1c10::/48,138376,"CERNET2 regional IX at Ningxia University"
2001:250:1c11::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1c12::/47,23910,"China Next Generation Internet CERNET2"
2001:250:1c14::/46,23910,"China Next Generation Internet CERNET2"
2001:250:1c18::/45,23910,"China Next Generation Internet CERNET2"
2001:250:1c20::/43,23910,"China Next Generation Internet CERNET2"
2001:250:1c40::/42,23910,"China Next Generation Internet CERNET2"
2001:250:1c80::/41,23910,"China Next Generation Internet CERNET2"
2001:250:1d00::/40,23910,"China Next Generation Internet CERNET2"
2001:250:1e00::/45,138377,"CERNET2 regional IX at Qinghai Normal University"
2001:250:1e08::/46,138377,"CERNET2 regional IX at Qinghai Normal University"
2001:250:1e0c::/47,138377,"CERNET2 regional IX at Qinghai Normal University"
2001:250:1e0e::/48,138377,"CERNET2 regional IX at Qinghai Normal University"
2001:250:1e0f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:1e10::/44,23910,"China Next Generation Internet CERNET2"
2001:250:1e20::/43,23910,"China Next Generation Internet CERNET2"
2001:250:1e40::/42,23910,"China Next Generation Internet CERNET2"
2001:250:1e80::/41,23910,"China Next Generation Internet CERNET2"
2001:250:1f00::/40,23910,"China Next Generation Internet CERNET2"
2001:250:2000::/44,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2010::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2011::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2012::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2014::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2015::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2016::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2018::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:201a::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:201b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:201c::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:201e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:201f::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2020::/45,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2028::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2029::/48,23910,"China Next Generation Internet CERNET2"
2001:250:202a::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:202c::/46,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2030::/46,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2034::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2035::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2036::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2038::/46,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:203c::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:203d::/48,23910,"China Next Generation Internet CERNET2"
2001:250:203e::/47,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2040::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2042::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2043::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2044::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2045::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2046::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2047::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:2048::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2049::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:204a::/47,23910,"China Next Generation Internet CERNET2"
2001:250:204c::/48,23910,"China Next Generation Internet CERNET2"
2001:250:204d::/48,24355,"CERNET2 IX at University of Electronic Science and Technology of China"
2001:250:204e::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2050::/44,23910,"China Next Generation Internet CERNET2"
2001:250:2060::/43,23910,"China Next Generation Internet CERNET2"
2001:250:2080::/41,23910,"China Next Generation Internet CERNET2"
2001:250:2100::/48,138381,"CERNET2 regional IX at Guizhou University"
2001:250:2101::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2102::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2104::/46,23910,"China Next Generation Internet CERNET2"
2001:250:2108::/45,23910,"China Next Generation Internet CERNET2"
2001:250:2110::/44,23910,"China Next Generation Internet CERNET2"
2001:250:2120::/43,23910,"China Next Generation Internet CERNET2"
2001:250:2140::/42,23910,"China Next Generation Internet CERNET2"
2001:250:2180::/41,23910,"China Next Generation Internet CERNET2"
2001:250:2200::/39,23910,"China Next Generation Internet CERNET2"
2001:250:2400::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2401::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:2402::/48,24356,"CERNET2 IX at Chongqing University"
2001:250:2403::/48,23910,"China Next Generation Internet CERNET2"
2001:250:2404::/47,23910,"China Next Generation Internet CERNET2"
2001:250:2406::/47,24356,"CERNET2 IX at Chongqing University"
2001:250:2408::/46,24356,"CERNET2 IX at Chongqing University"
2001:250:240c::/47,24356,"CERNET2 IX at Chongqing University"
2001:250:240e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:240f::/48,24356,"CERNET2 IX at Chongqing University"
